BindingDB Reactant_set_id	Ligand SMILES	Ligand InChI
26	CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC)C1=O	InChI=1S/C29H42N2O3/c1-3-5-13-19-30-25(21-23-15-9-7-10-16-23)27(32)28(33)26(22-24-17-11-8-12-18-24)31(29(30)34)20-14-6-4-2/h7-12,15-18,25-28,32-33H,3-6,13-14,19-22H2,1-2H3/t25-,26-,27+,28+/m1/s1
27	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C(=O)N(CC2CC2)[C@@H]1Cc1ccccc1	InChI=1S/C29H38N2O3/c32-27-25(17-21-9-3-1-4-10-21)30(19-23-13-7-8-14-23)29(34)31(20-24-15-16-24)26(28(27)33)18-22-11-5-2-6-12-22/h1-6,9-12,23-28,32-33H,7-8,13-20H2/t25-,26-,27+,28+/m1/s1
28	COC(=O)CCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC(O)=O)C1=O	InChI=1S/C32H44N2O7/c1-41-29(37)19-11-5-13-21-34-27(23-25-16-8-3-9-17-25)31(39)30(38)26(22-24-14-6-2-7-15-24)33(32(34)40)20-12-4-10-18-28(35)36/h2-3,6-9,14-17,26-27,30-31,38-39H,4-5,10-13,18-23H2,1H3,(H,35,36)/t26-,27-,30+,31+/m1/s1
29	CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCCC2)C1=O	InChI=1S/C29H40N2O3/c1-2-3-18-30-25(19-22-12-6-4-7-13-22)27(32)28(33)26(20-23-14-8-5-9-15-23)31(29(30)34)21-24-16-10-11-17-24/h4-9,12-15,24-28,32-33H,2-3,10-11,16-21H2,1H3/t25-,26-,27+,28+/m1/s1
30	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C)C(=O)N(CC=C)[C@@H]1Cc1ccccc1	InChI=1S/C25H30N2O3/c1-3-15-26-21(17-19-11-7-5-8-12-19)23(28)24(29)22(27(16-4-2)25(26)30)18-20-13-9-6-10-14-20/h3-14,21-24,28-29H,1-2,15-18H2/t21-,22-,23+,24+/m1/s1
31	CCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCC)C1=O	InChI=1S/C31H46N2O3/c1-3-5-7-15-21-32-27(23-25-17-11-9-12-18-25)29(34)30(35)28(24-26-19-13-10-14-20-26)33(31(32)36)22-16-8-6-4-2/h9-14,17-20,27-30,34-35H,3-8,15-16,21-24H2,1-2H3/t27-,28-,29+,30+/m1/s1
32	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C(=O)N(C\C=C\c2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C32H36N2O3/c35-30-28(21-25-13-6-2-7-14-25)33(20-10-17-24-11-4-1-5-12-24)32(37)34(23-27-18-19-27)29(31(30)36)22-26-15-8-3-9-16-26/h1-17,27-31,35-36H,18-23H2/b17-10+/t28-,29-,30+,31+/m1/s1
33	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C\c2ccccc2)C(=O)N(C\C=C\c2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C37H38N2O3/c40-35-33(27-31-19-9-3-10-20-31)38(25-13-23-29-15-5-1-6-16-29)37(42)39(26-14-24-30-17-7-2-8-18-30)34(36(35)41)28-32-21-11-4-12-22-32/h1-24,33-36,40-41H,25-28H2/b23-13+,24-14+/t33-,34-,35+,36+/m1/s1
34	CNC(=O)OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCCO)C1=O	InChI=1S/C33H49N3O6/c1-34-32(40)42-23-15-5-3-13-21-36-29(25-27-18-10-7-11-19-27)31(39)30(38)28(24-26-16-8-6-9-17-26)35(33(36)41)20-12-2-4-14-22-37/h6-11,16-19,28-31,37-39H,2-5,12-15,20-25H2,1H3,(H,34,40)/t28-,29-,30+,31+/m1/s1
35	CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1	InChI=1S/C28H39N3O7S/c1-3-19(2)16-31(39(34,35)22-11-9-21(29)10-12-22)17-25(32)24(15-20-7-5-4-6-8-20)30-28(33)38-26-18-37-27-23(26)13-14-36-27/h4-12,19,23-27,32H,3,13-18,29H2,1-2H3,(H,30,33)/t19-,23-,24-,25+,26-,27+/m0/s1
36	CNC(=O)n1cc(C=CCN2[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@@H](Cc3ccccc3)N(CC=Cc3cnn(c3)C(=O)NC)C2=O)cn1	InChI=1S/C35H40N8O5/c1-36-33(46)42-23-27(21-38-42)15-9-17-40-29(19-25-11-5-3-6-12-25)31(44)32(45)30(20-26-13-7-4-8-14-26)41(35(40)48)18-10-16-28-22-39-43(24-28)34(47)37-2/h3-16,21-24,29-32,44-45H,17-20H2,1-2H3,(H,36,46)(H,37,47)/t29-,30-,31+,32+/m1/s1
37	CC(C)CCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCC(C)C)C1=O	InChI=1S/C31H46N2O3/c1-23(2)13-11-19-32-27(21-25-15-7-5-8-16-25)29(34)30(35)28(22-26-17-9-6-10-18-26)33(31(32)36)20-12-14-24(3)4/h5-10,15-18,23-24,27-30,34-35H,11-14,19-22H2,1-4H3/t27-,28-,29+,30+/m1/s1
38	COCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O	InChI=1S/C30H44N2O5/c1-37-21-13-5-11-19-32-27(23-25-16-8-3-9-17-25)29(35)28(34)26(22-24-14-6-2-7-15-24)31(30(32)36)18-10-4-12-20-33/h2-3,6-9,14-17,26-29,33-35H,4-5,10-13,18-23H2,1H3/t26-,27-,28+,29+/m1/s1
39	CCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCC)C1=O	InChI=1S/C25H34N2O3/c1-3-15-26-21(17-19-11-7-5-8-12-19)23(28)24(29)22(27(16-4-2)25(26)30)18-20-13-9-6-10-14-20/h5-14,21-24,28-29H,3-4,15-18H2,1-2H3/t21-,22-,23+,24+/m1/s1
40	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)OCc2cccnc2)C(=O)N(CCCCCNC(=O)OCc2cccnc2)[C@@H]1Cc1ccccc1	InChI=1S/C43H54N6O7/c50-39-37(27-33-15-5-1-6-16-33)48(25-11-3-9-23-46-41(52)55-31-35-19-13-21-44-29-35)43(54)49(38(40(39)51)28-34-17-7-2-8-18-34)26-12-4-10-24-47-42(53)56-32-36-20-14-22-45-30-36/h1-2,5-8,13-22,29-30,37-40,50-51H,3-4,9-12,23-28,31-32H2,(H,46,52)(H,47,53)/t37-,38-,39+,40+/m1/s1
41	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC=C)C(=O)N(CCCCC=C)[C@@H]1Cc1ccccc1	InChI=1S/C31H42N2O3/c1-3-5-7-15-21-32-27(23-25-17-11-9-12-18-25)29(34)30(35)28(24-26-19-13-10-14-20-26)33(31(32)36)22-16-8-6-4-2/h3-4,9-14,17-20,27-30,34-35H,1-2,5-8,15-16,21-24H2/t27-,28-,29+,30+/m1/s1
42	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)Oc2ccc(cc2)[N+]([O-])=O)C(=O)N(CCCCCNC(=O)OCc2ccncc2)[C@@H]1Cc1ccccc1	InChI=1S/C43H52N6O9/c50-39-37(29-32-13-5-1-6-14-32)47(27-11-3-9-23-45-41(52)57-31-34-21-25-44-26-22-34)43(54)48(38(40(39)51)30-33-15-7-2-8-16-33)28-12-4-10-24-46-42(53)58-36-19-17-35(18-20-36)49(55)56/h1-2,5-8,13-22,25-26,37-40,50-51H,3-4,9-12,23-24,27-31H2,(H,45,52)(H,46,53)/t37-,38-,39+,40+/m1/s1
43	CC(C)CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCC(C)C)C1=O	InChI=1S/C29H42N2O3/c1-21(2)15-17-30-25(19-23-11-7-5-8-12-23)27(32)28(33)26(20-24-13-9-6-10-14-24)31(29(30)34)18-16-22(3)4/h5-14,21-22,25-28,32-33H,15-20H2,1-4H3/t25-,26-,27+,28+/m1/s1
44	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC2CO2)C(=O)N(CCCCC2CO2)[C@@H]1Cc1ccccc1	InChI=1S/C31H42N2O5/c34-29-27(19-23-11-3-1-4-12-23)32(17-9-7-15-25-21-37-25)31(36)33(18-10-8-16-26-22-38-26)28(30(29)35)20-24-13-5-2-6-14-24/h1-6,11-14,25-30,34-35H,7-10,15-22H2/t25?,26?,27-,28-,29+,30+/m1/s1
45	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2cccc(c2)C(F)(F)F)C(=O)N(CCCCCNC(=O)c2cccc(c2)C(F)(F)F)[C@@H]1Cc1ccccc1	InChI=1S/C45H50F6N4O5/c46-44(47,48)35-21-13-19-33(29-35)41(58)52-23-9-3-11-25-54-37(27-31-15-5-1-6-16-31)39(56)40(57)38(28-32-17-7-2-8-18-32)55(43(54)60)26-12-4-10-24-53-42(59)34-20-14-22-36(30-34)45(49,50)51/h1-2,5-8,13-22,29-30,37-40,56-57H,3-4,9-12,23-28H2,(H,52,58)(H,53,59)/t37-,38-,39+,40+/m1/s1
46	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)Nc2ccccc2)C(=O)N(CCCCCNC(=O)Nc2ccccc2)[C@@H]1Cc1ccccc1	InChI=1S/C43H54N6O5/c50-39-37(31-33-19-7-1-8-20-33)48(29-17-5-15-27-44-41(52)46-35-23-11-3-12-24-35)43(54)49(38(40(39)51)32-34-21-9-2-10-22-34)30-18-6-16-28-45-42(53)47-36-25-13-4-14-26-36/h1-4,7-14,19-26,37-40,50-51H,5-6,15-18,27-32H2,(H2,44,46,52)(H2,45,47,53)/t37-,38-,39+,40+/m1/s1
47	O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCNC(=O)c2cccc(F)c2)C(=O)N(CCCCCNC(=O)c2cccc(F)c2)[C@@H]1Cc1ccccc1	InChI=1S/C43H50F2N4O5/c44-35-21-13-19-33(29-35)41(52)46-23-9-3-11-25-48-37(27-31-15-5-1-6-16-31)39(50)40(51)38(28-32-17-7-2-8-18-32)49(43(48)54)26-12-4-10-24-47-42(53)34-20-14-22-36(45)30-34/h1-2,5-8,13-22,29-30,37-40,50-51H,3-4,9-12,23-28H2,(H,46,52)(H,47,53)/t37-,38-,39+,40+/m1/s1
48	CC(CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCC(C)N=O)C1=O)N=O	InChI=1S/C31H44N4O5/c1-23(32-39)13-9-11-19-34-27(21-25-15-5-3-6-16-25)29(36)30(37)28(22-26-17-7-4-8-18-26)35(31(34)38)20-12-10-14-24(2)33-40/h3-8,15-18,23-24,27-30,36-37H,9-14,19-22H2,1-2H3/t23?,24?,27-,28-,29+,30+/m1/s1
