name,cor,p.value
SLPI,-0.0573649169958267,0.663302397027778
WFDC2,-0.0757849967410561,0.564947796636943
MMP9,0.325553374832609,0.0111412448746868
NCOA3,-0.0372691628308493,0.777398296047306
SOD1,0.105688861658188,0.421572804369169
RUNX1,0.0776514694843364,0.555375446574835
ETS2,-0.239905822753437,0.064852262683629
TMPRSS2,-0.350486949311325,0.0060432536141989
TMPRSS3,-0.0203435636391253,0.877387694756109
COL6A1,0.164698159599403,0.208566184468256
S100B,0.087982158629455,0.503834390335456
MAPK1,-0.068861099152315,0.601115860840433
HMOX1,0.0412000875063376,0.754619583707689
MAOA,-0.307258329778185,0.0169390945593227
TIMP1,0.138043796823872,0.292875211170748
AR,0.174883349147889,0.181395689929549
BTK,0.177164034045441,0.175679407099252
